2C6	02/20	40.77030	-90.07600	40.77760	-90.07280
2CL9	07/25	38.33390	-121.31100	38.33470	-121.29700
2CN4	16/34	35.65420	-119.88200	35.64390	-119.88100
2D1	09/27	40.98170	-81.04740	40.98170	-81.03980
2D1	18/36	40.97370	-81.09870	40.96410	-81.09860
2D7	10/28	40.64680	-81.56180	40.64650	-81.55040
2E2	18/36	42.95530	-82.77610	42.94790	-82.77570
2E8	06/24	42.42320	-83.87150	42.42700	-83.86560
2F6	17/35	36.35910	-96.01090	36.35110	-96.01100
2F6	S/N	36.35850	-96.01030	36.35140	-96.01040
2G8	12/30	44.39470	-71.20310	44.39460	-71.19290
2IG4	18/36	38.85930	-87.49990	38.84340	-87.49970
2IL3	18/36	41.51880	-90.37940	41.51280	-90.37930
2IL9	04/22	41.42920	-87.78560	41.43640	-87.77780
2J0	18/36	29.99300	-84.39540	29.98590	-84.39540
2J9	14/32	30.60020	-84.56010	30.59500	-84.55410
2K1	15/33	36.66560	-97.81040	36.66250	-97.80880
2K1	17/35	36.66540	-97.80870	36.65900	-97.80870
2K2	17/35	37.06290	-93.23440	37.05600	-93.23420
2K8	17/35	37.27980	-97.75880	37.27100	-97.75880
2KY5	16/34	38.37890	-83.15690	38.37110	-83.15250
2L1	12/30	47.90960	-97.64540	47.90370	-97.63670
2M1	03/21	39.01440	-94.09040	39.02490	-94.08260
2NC0	14/32	35.87164	-82.34557	35.86625	-82.33930
2OR1	04/22	44.82530	-120.50200	44.83170	-120.48800
2P7	01/19	40.05300	-80.96370	40.06070	-80.96270
2Q5	06/24	39.20040	-119.68600	39.20270	-119.68100
2S0	10/28	48.35230	-120.09900	48.34880	-120.08900
2S1	17/35	47.46130	-122.47600	47.45590	-122.47700
2S5	07/25	47.65600	-120.06300	47.65600	-120.05000
2S6	17/35	45.29860	-122.95300	45.29110	-122.95500
2SC5	08/26	34.29100	-82.05880	34.29240	-82.04870
2SD9	18/36	45.45560	-99.01010	45.44880	-99.01010
2TA6	01/19	31.85640	-96.19940	31.86890	-96.19550
2TA8	13/31	26.86440	-98.22830	26.85420	-98.21580
2TS6	17/35	32.51700	-96.92710	32.50830	-96.92620
2TS8	15/33	29.22580	-97.87440	29.21530	-97.86890
2TX4	17/35	27.99010	-99.37800	27.97710	-99.37540
2U0	05/23	43.49600	-115.55700	43.50070	-115.53700
2U4	16/34	43.19330	-112.53200	43.18570	-112.53200
2U5	18/36	45.99210	-114.84000	45.98690	-114.84300
2U7	17/35	44.21430	-114.93300	44.20280	-114.93600
2VG2	NW/SE	38.96809	-77.86218	38.97517	-77.87765
2W1	08/26	47.17800	-120.85700	47.17720	-120.84900
2W2	14/32	39.46850	-77.02010	39.46560	-77.01470
2WN3	09/27	44.35770	-88.76620	44.35800	-88.75660
2WN3	18/36	44.35920	-88.76130	44.35650	-88.76150
2WN5	11/29	44.00720	-90.02380	44.00550	-90.01470
2XA0	17/35	33.98330	-99.71280	33.97470	-99.71280
2XS1	18/36	30.22600	-98.30190	30.21350	-98.30330
2XS2	15/33	28.26910	-100.16500	28.25650	-100.15900
2XS3	16/34	32.02250	-95.70280	32.01140	-95.69810
2XS5	17/35	30.01440	-98.42610	30.00640	-98.42440
2XS8	15/33	29.23360	-99.82600	29.22530	-99.82190
30GA	14/32	34.46340	-84.18580	34.45460	-84.17680
30M	01/19	34.65570	-90.37680	34.66250	-90.37570
30NE	17/35	40.35932	-98.68580	40.35218	-98.68584
31VA	02/20	37.01230	-76.59110	37.02810	-76.58670
31WI	06/24	43.00420	-88.60940	43.01030	-88.59470
33C	09/27	43.08180	-86.10200	43.08180	-86.09080
33VT	2/20	44.11611	-72.56694	44.12056	-72.56472
34G	18/36	41.97390	-83.92340	41.96400	-83.92350
34IL	16/34	40.36429	-90.11087	40.36008	-90.10922
34U	18/36	44.84380	-85.43150	44.83560	-85.43150
35C	18/36	43.13140	-85.50530	43.12530	-85.50530
35XA	12/30	30.83503	-94.94372	30.83309	-94.93964
36CA	16/34	36.13640	-119.98600	36.12720	-119.98500
36MI	13/31	42.03660	-83.88360	42.02990	-83.87070
36MI	7/25	42.03190	-83.88650	42.03710	-83.87260
36WI	18/36	44.03670	-91.29970	44.02780	-91.29970
37M	18/36	36.04450	-90.15070	36.03730	-90.15080
37N	11/29	47.48500	-101.41400	47.48040	-101.40300
37X	N/S	29.98790	-95.93060	29.99620	-95.93070
38C	18/36	43.61250	-85.49250	43.60310	-85.49250
38I	09/27	40.09080	-83.69410	40.09150	-83.68470
38N	10/28	39.30350	-75.58840	39.30380	-75.57920
38W	07/25	48.95600	-122.46300	48.95580	-122.45300
38XS	14/32	26.82200	-98.48440	26.80840	-98.47410
39G	09/27	43.03000	-82.67330	43.03010	-82.66540
39MD	9/27	38.27483	-76.72717	38.27514	-76.72092
39P	07/25	46.55040	-122.27000	46.55040	-122.26300
39TE	08/26	32.71080	-102.73900	32.71080	-102.73100
39TE	17/35	32.72330	-102.73800	32.71250	-102.73800
3A9	04/22	44.39140	-97.12520	44.39610	-97.11880
3A9	14/32	44.39690	-97.12630	44.38990	-97.12040
3AK2	06/24	61.64100	-149.28900	61.64250	-149.26700
3AZ5	07/25	35.57000	-113.30000	35.57440	-113.28500
3B3	16/34	42.42910	-71.79660	42.42270	-71.78910
3C1	03/21	41.65280	-86.03670	41.65920	-86.03250
3C1	12/30	41.65830	-86.03870	41.65500	-86.03080
3D1	09/27	45.21440	-88.07870	45.21440	-88.06880
3D1	18/36	45.21770	-88.07290	45.21050	-88.07290
3D2	14/32	45.13800	-87.18950	45.13270	-87.18230
3DA	09/27	43.05690	-83.80940	43.05690	-83.80330
3DA	18/36	43.05310	-83.80390	43.04620	-83.80400
3EV	18/36	38.01500	-87.59470	38.00890	-87.59500
3EX	01/19	39.33530	-94.19880	39.34020	-94.19560
3FA7	18/36	29.04470	-81.05695	29.04063	-81.05695
3FK	03/21	39.42350	-86.06110	39.42920	-86.05690
3G8	09/27	41.43990	-90.11470	41.43970	-90.10540
3GE3	07/25	34.41060	-83.18890	34.41330	-83.17940
3H5	18U/36U	41.68520	-90.07860	41.67970	-90.07860
3J6	18/36	30.79980	-82.02810	30.79290	-82.02820
3KK	09/27	41.09660	-87.91670	41.09660	-87.90710
3KK	18/36	41.09810	-87.90980	41.09100	-87.90980
3KS2	18/36	37.06328	-96.99879	37.05766	-96.99863
3KS9	17/35	37.73233	-101.19554	37.72190	-101.19528
3L7	09/27	44.73830	-83.38370	44.73830	-83.37570
3LA4	12/30	29.80263	-92.80886	29.79673	-92.79821
3MO	18/36	38.02190	-93.69300	38.01530	-93.69340
3MO4	S/N	36.45420	-89.62830	36.44690	-89.62780
3N8	17/35	47.26380	-95.93080	47.25520	-95.92820
3ND6	9/27	47.24222	-99.89941	47.24192	-99.89584
3NE5	11/29	40.94914	-96.20661	40.94596	-96.19859
3NP	09/27	42.17140	-84.26320	42.17140	-84.25370
3NP	15/33	42.17320	-84.26290	42.16710	-84.25870
3O5	16/34	34.37310	-98.40670	34.36520	-98.40570
3O8	14/32	36.25160	-120.24000	36.24460	-120.23600
3OK5	18/36	34.73190	-97.60540	34.72530	-97.60630
3OL8	03/21	36.87250	-95.15360	36.88310	-95.14470
3R8	02/20	38.65420	-85.79250	38.66120	-85.78870
3RU	E/W	33.33290	-84.40530	33.33280	-84.39630
3S2	12/30	44.51540	-70.40980	44.51290	-70.40380
3SC4	08/26	34.76970	-81.99250	34.77420	-81.98300
3T0	07/25	33.83910	-96.81500	33.83990	-96.80520
3TA	03/21	37.95910	-98.65050	37.96200	-98.64650
3TA	17/35	37.96230	-98.64670	37.95520	-98.64670
3TA0	18/36	30.10190	-100.40300	30.09110	-100.40500
3TA5	01/19	30.12890	-98.38460	30.13810	-98.38270
3TA6	15/33	29.54700	-100.25600	29.53680	-100.25000
3TE	09/27	42.02470	-83.94300	42.02490	-83.93630
3TE	18/36	42.02890	-83.93910	42.02170	-83.93900
3TS1	02/20	30.00750	-98.04220	30.01530	-98.03890
3U0	01/19	42.01740	-115.34100	42.02960	-115.33000
3U2	17/35	44.91600	-115.48400	44.90730	-115.48700
3VS	07/25	38.42710	-92.87990	38.42940	-92.87060
3W2	03/21	41.63340	-82.83120	41.64000	-82.82550
3W3	10/28	38.91810	-76.36310	38.91810	-76.35460
3W5	07/25	48.52990	-121.76400	48.52980	-121.75300
3W9	09/27	41.69420	-82.80040	41.69470	-82.79270
